GROUP_DESC,COMMODITY_DESC,CLASS_DESC,VALUE,CROP_SP,IN_CDL,CDL_CAT
VEGETABLES,LETTUCE,ALL CLASSES,611746,LETTUCE,TRUE,LETTUCE
VEGETABLES,LETTUCE,LEAF,118845,torm,NA,NA
VEGETABLES,LETTUCE,ROMAINE,145442.5,torm,NA,NA
VEGETABLES,LETTUCE,HEAD,219500.5,torm,NA,NA
FRUIT & TREE NUTS,LIMES,ALL CLASSES,832.5,LIMES,FALSE,"CITRUS, OTHER"
FRUIT & TREE NUTS,LOGANBERRIES,ALL CLASSES,151.5,LOGANBERRIES,FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,MACADAMIAS,ALL CLASSES,18236,MACADAMIAS,FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,MANGOES,ALL CLASSES,2899,MANGOES,FALSE,MISC VEGS & FRUITS
VEGETABLES,MELONS,CANTALOUP,110982,CUCUMIS MELO,TRUE,CUCUMIS MELO
VEGETABLES,MELONS,WATERMELON,192809.5,WATERMELON,TRUE,WATERMELON
VEGETABLES,MELONS,HONEYDEW,17973.5,CUCUMIS MELO,TRUE,CUCUMIS MELO
FIELD CROPS,MILLET,PROSO,199945,MILLET,TRUE,MILLET
FIELD CROPS,MINT,ALL CLASSES,59832,MINT,TRUE,MINT
FIELD CROPS,MINT,PEPPERMINT,34101,torm,NA,NA
FIELD CROPS,MINT,TEA LEAVES,306,torm,NA,NA
FIELD CROPS,MINT,SPEARMINT,13182,torm,NA,NA
FIELD CROPS,MISCANTHUS,ALL CLASSES,5,MISCANTHUS,FALSE,OTHER CROPS
FIELD CROPS,MUSTARD,ALL CLASSES,36536,MUSTARD,TRUE,MUSTARD
FRUIT & TREE NUTS,NECTARINES,ALL CLASSES,21845,PRUNUS PERSICA,TRUE,PRUNUS PERSICA
FRUIT & TREE NUTS,"NON-CITRUS, OTHER",(EXCL BERRIES),11576,"NON-CITRUS, OTHER",FALSE,OTHER TREE CROPS
FIELD CROPS,OATS,ALL CLASSES,1033346,OATS,TRUE,OATS
VEGETABLES,OKRA,ALL CLASSES,3349.5,OKRA,FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,OLIVES,ALL CLASSES,51129.5,OLIVES,TRUE,OLIVES
VEGETABLES,ONIONS,DRY,152420,ONIONS,TRUE,ONIONS
VEGETABLES,ONIONS,GREEN,5264.5,ONIONS,TRUE,ONIONS
FRUIT & TREE NUTS,ORANGES,ALL CLASSES,669160,ORANGES,TRUE,ORANGES
FRUIT & TREE NUTS,ORANGES,MID & NAVEL,383139.5,torm,NA,NA
FRUIT & TREE NUTS,ORANGES,VALENCIA,289610.5,torm,NA,NA
FRUIT & TREE NUTS,ORCHARDS,ALL CLASSES,5162478.5,torm,NA,NA
FRUIT & TREE NUTS,PAPAYAS,ALL CLASSES,2208,PAPAYAS,FALSE,MISC VEGS & FRUITS
VEGETABLES,PARSLEY,ALL CLASSES,4319,PARSLEY,FALSE,HERBS
FRUIT & TREE NUTS,PASSION FRUIT,ALL CLASSES,152.5,PASSION FRUIT,FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,PEACHES,ALL CLASSES,106867.5,PRUNUS PERSICA,TRUE,PRUNUS PERSICA
FRUIT & TREE NUTS,PEACHES,CLINGSTONE,25611,torm,NA,NA
FRUIT & TREE NUTS,PEACHES,FREESTONE,26073,torm,NA,NA
FIELD CROPS,PEANUTS,ALL CLASSES,1577218,PEANUTS,TRUE,PEANUTS
FRUIT & TREE NUTS,PEARS,ALL CLASSES,53934.5,PEARS,TRUE,PEARS
FRUIT & TREE NUTS,PEARS,BARTLETT,21328.5,torm,NA,NA
FRUIT & TREE NUTS,PEARS,(EXCL BARTLETT),25239.5,torm,NA,NA
VEGETABLES,PEAS,"GREEN, (EXCL SOUTHERN)",224620.5,PEAS,TRUE,PEAS
VEGETABLES,PEAS,"GREEN, SOUTHERN (COWPEAS)",9798,COWPEAS,TRUE,COWPEAS
FIELD CROPS,PEAS,"DRY, SOUTHERN (COWPEAS)",10364,COWPEAS,TRUE,COWPEAS
VEGETABLES,PEAS,CHINESE (SUGAR & SNOW),6163,PEAS,TRUE,PEAS
FIELD CROPS,PEAS,DRY EDIBLE,635748,PEAS,TRUE,PEAS
FIELD CROPS,PEAS,AUSTRIAN WINTER,6098,PEAS,TRUE,PEAS
FRUIT & TREE NUTS,PECANS,ALL CLASSES,441932,PECANS,TRUE,PECANS
FRUIT & TREE NUTS,PECANS,IMPROVED,270776.5,torm,NA,NA
FRUIT & TREE NUTS,PECANS,NATIVE & SEEDLING,201922.5,torm,NA,NA
VEGETABLES,PEPPERS,BELL,50350,PEPPERS,TRUE,PEPPERS
VEGETABLES,PEPPERS,CHILE,23248,PEPPERS,TRUE,PEPPERS
FRUIT & TREE NUTS,PERSIMMONS,ALL CLASSES,4917.5,PERSIMMONS,FALSE,MISC VEGS & FRUITS
