geo.id,Dg,CropArea_acres,total_area,CropArea_prop
32015,1.0008527377193,26219,14295446316.298,0.0074222606409943
19191,2.62177529145357,273821.5,1787412463.56986,0.619955560594587
21023,3.88025315515345,7731.5,541173848.22747,0.05781556247085
55037,2.89274031318515,56,1288344403.84473,0.00017590324371193
54087,4.15588339753241,300,1252827166.05653,0.000969053800566467
27159,5.66923516501743,58097.5,1406960358.81295,0.167106514073181
51670,,,28046854.5596313,
17201,2.50020682476777,144599,1344690143.11865,0.435171920324684
04007,2.29967459748539,329,12420267336.851,0.00010719702940848
24045,3.75501923411175,50565,1036531898.14157,0.197417267491277
21043,2.82129667991173,2619,1067375785.13176,0.00992969591207024
37097,4.14086390797376,56065,1547340646.95206,0.146630288404028
51083,5.21963081669645,17847,2148437796.72992,0.0336170992153012
37091,5.51141356198677,53262,933426818.779999,0.230916513681905
36057,2.99766330466807,48948,1062666208.70697,0.186404278728935
27113,3.38061448844962,169520.5,1601260585.86776,0.428428158544654
53073,5.85215023660957,41175.5,6487579201.33325,0.0256846708840621
41021,1.32304982097323,116334,3167129002.15527,0.148647874691276
34029,9.07000013206538,1485,2369414172.29041,0.00253631545617658
05009,3.27511651109092,366,1559161284.6531,0.000949965513624169
40031,1.90310232124766,67992,2806778549.85977,0.0980319098867161
48253,2.29224783727673,138080,2427174214.55978,0.230222425507408
48185,4.12026753811345,4285,2076137306.81914,0.0083524243377486
26049,3.62632779611392,90461,1682422644.56424,0.217592576995743
22007,1.30165612427989,46795,944129592.815827,0.200579081226987
28013,4.34563207197195,61741,1522808701.41412,0.16407639524477
28041,4.27477908674004,9620,1861414600.63965,0.020914609120456
30017,3.23011319206839,60964.5,9824336838.64142,0.0251125935944112
46109,2.90035288934719,348851,2941650685.32816,0.479917590777157
17141,2.02650104326181,321836,1976167205.54778,0.659065730826406
38077,3.37292224765149,734394,3743644566.30373,0.793875332669843
55005,3.63760764997322,186988,2304475907.94138,0.328366890755528
55051,2.19257986183283,879,2380625795.12726,0.00149422341073955
27157,3.13889100329506,162954,1423313980.13065,0.463321129885367
