"","class","ID","freq","perc.tot","perc.ag"
"65","Dbl Crop Barley-Corn",211,1538315,0.00130914534937154,0.0120022874961886
"66","Pears",35,1514871,0.00128919390667569,0.0118193720152496
"67","Cranberries",122,1249975,0.00106376064595398,0.00975259248791591
"68","Pomegranates",141,1131514,0.000962947309782971,0.00882833251574766
"69","Dbl Crop Corn-Soybeans",215,1022386,0.000870076594951342,0.00797689075649545
"70","Dbl Crop Soybeans-Oats",214,913729,0.000777606713147769,0.00712912384758968
"71","Peppers",64,891672,0.000758835642872117,0.00695703005970916
"72","Greens",196,811037,0.000690213198674034,0.0063278972408423
"73","Garlic",82,808675,0.000688203076354993,0.00630946837349979
"74","Dbl Crop Lettuce-Durum Wht",204,735409,0.000625851839341082,0.00573783018776036
"75","Mint",132,659741,0.000561456438986638,0.00514745104547701
"76","Caneberries",30,630905,0.000536916266593807,0.00492246594018967
"77","Other Small Grains",10,518495,0.000441252485948845,0.00404541726196281
"78","Buckwheat",134,513834,0.000437285855919611,0.00400905106776998
"79","Asparagus",140,512580,0.00043621866989587,0.00399926707130618
"80","Switchgrass",12,500323,0.000425787649885503,0.003903635137768
"81","Prunes",36,378684,0.00032226975455704,0.00295457967854873
"82","Radishes",47,372686,0.000317165303384471,0.0029077819027992
"83","Dbl Crop Barley-Sorghum",209,343218,0.000292087282852083,0.00267786578812978
"84","Dbl Crop Lettuce-Cotton",206,343015,0.000291914524668016,0.00267628193543269
"85","Vetch",28,275425,0.000234393708603671,0.00214892920737154
"86","Dbl Crop Soybeans-Cotton",213,248383,0.00021138027602471,0.00193794130276687
"87","Camelina",44,214929,0.000182910067700748,0.00167692549917821
"88","Dbl Crop Lettuce-Cantaloupe",205,127150,0.00010820789706438,0.000992053548941785
"89","Turnips",48,81527,6.93815589773315e-05,0.000636092408058017
"90","Apricots",38,71202,6.05947203049782e-05,0.00055553438294733
"91","Celery",112,62584,5.32605822247515e-05,0.000488294764506274
"92","Dbl Crop Durum Wht-Sorghum",208,57535,4.89637542870554e-05,0.000448901305059895
"93","Eggplants",65,13680,1.16420293499073e-05,0.000106734506877889
"94","Gourds",57,13597,1.15713942303136e-05,0.00010608692178499
"95","Chick Peas",24,10235,8.71024637399865e-06,7.98558244075436e-05
"96","Dbl Crop Lettuce-Barley",207,4036,3.43473906843757e-06,3.14898004209913e-05
"97","Background",0,30958373423,26.3463663754355,NA
"98","Other Hay-Non Alfalfa",0,1193310576,1.01553777407506,NA
"99","Fallow-Idle Cropland",0,1151844299,0.980248913412385,NA
"100","Forest",0,2192779,0.00186611092659799,NA
"101","Wetlands",0,748134,0.000636681139302893,NA
"102","Aquaculture",0,9566154,0.00814104134749513,NA
"103","Open Water",0,1502286709,1.27848435366621,NA
"104","Perennial Ice-Snow",0,15998898,0.0136154707662408,NA
"105","Developed-Open Space",0,2836668296,2.41407716067132,NA
"106","Developed-Low Intensity",0,1274829666,1.08491260144039,NA
"107","Developed-Med Intensity",0,547997548,0.466359907711495,NA
"108","Developed-High Intensity",0,187550263,0.159610063335441,NA
"109","Barren",0,936177315,0.796710802481538,NA
"110","Deciduous Forest",0,10830338038,9.2168942476472,NA
"111","Evergreen Forest",0,11025994960,9.38340328481362,NA
"112","Mixed Forest",0,1311197794,1.11586280711124,NA
"113","Shrubland",0,19654020967,16.7260737530342,NA
"114","Grass-Pasture",0,16846600520,14.3368872587722,NA
"115","Woody Wetlands",0,3419614810,2.91017953095013,NA
"116","Herbaceous Wetlands",0,983127390,0.836666515283464,NA
