"CODE","CLASS","Freq","FAMILY","%Tot","%AG"
47,"Misc Vegs & Fruits",212052,"UNDEFINED",0.0014,0.01532
48,"Watermelons",169384,"CUCURBITACEAE",0.0011,0.01224
49,"Onions",628473,"AMARYLLIDACEAE",0.0042,0.0454
50,"Cucumbers",147027,"CUCURBITACEAE",0.001,0.01062
51,"Chick Peas",8264,"FABACEAE",1e-04,6e-04
52,"Lentils",1746236,"FABACEAE",0.0118,0.12615
53,"Peas",3480918,"FABACEAE",0.0234,0.25146
54,"Tomatoes",1589674,"SOLANACEAE",0.0107,0.11484
55,"Caneberries",52309,"ROSACEAE",4e-04,0.00378
56,"Hops",111976,"CANNABACEAE",8e-04,0.00809
57,"Herbs",469329,"UNDEFINED",0.0032,0.0339
58,"Clover/Wildflowers",660319,"UNDEFINED",0.0044,0.0477
59,"Sod/Grass Seed",3584702,"POACEAE",0.0241,0.25896
60,"Switchgrass",48040,"POACEAE",3e-04,0.00347
61,"Fallow/Idle Cropland",109693083,"NON-AG",0.7389,0
66,"Cherries",896831,"ROSACEAE",0.006,0.06479
67,"Peaches",239463,"ROSACEAE",0.0016,0.0173
68,"Apples",1997545,"ROSACEAE",0.0135,0.1443
69,"Grapes",5111280,"VITACEAE",0.0344,0.36924
70,"Christmas Trees",295873,"PINACEAE",0.002,0.02137
71,"Other Tree Crops",309934,"UNDEFINED",0.0021,0.02239
72,"Citrus",628425,"RUTACEAE",0.0042,0.0454
74,"Pecans",1792190,"JUGLANDACEAE",0.0121,0.12947
75,"Almonds",5195032,"ROSACEAE",0.035,0.37529
76,"Walnuts",1535474,"JUGLANDACEAE",0.0103,0.11092
77,"Pears",126118,"ROSACEAE",8e-04,0.00911
92,"Aquaculture",916167,"NON-AG",0.0062,0
111,"Open Water",145587555,"NON-AG",0.9806,0
112,"Perennial Ice/Snow",1922716,"NON-AG",0.013,0
121,"Developed/Open Space",287997255,"NON-AG",1.9399,0
122,"Developed/Low Intensity",127662635,"NON-AG",0.8599,0
123,"Developed/Med Intensity",50771123,"NON-AG",0.342,0
124,"Developed/High Intensity",17562731,"NON-AG",0.1183,0
131,"Barren",93528663,"NON-AG",0.63,0
141,"Deciduous Forest",1078479940,"NON-AG",7.2643,0
142,"Evergreen Forest",1121431150,"NON-AG",7.5536,0
143,"Mixed Forest",134679972,"NON-AG",0.9072,0
152,"Shrubland",1931402119,"NON-AG",13.0093,0
176,"Grass/Pasture",1725835721,"NON-AG",11.6247,0
190,"Woody Wetlands",339253868,"NON-AG",2.2851,0
195,"Herbaceous Wetlands",103446958,"NON-AG",0.6968,0
204,"Pistachios",908044,"ANACARDIACEAE",0.0061,0.0656
205,"Triticale",704534,"POACEAE",0.0047,0.0509
206,"Carrots",191866,"APIACEAE",0.0013,0.01386
207,"Asparagus",86596,"ASPARAGACEAE",6e-04,0.00626
208,"Garlic",77489,"AMARYLLIDACEAE",5e-04,0.0056
209,"Cantaloupes",82397,"CUCURBITACEAE",6e-04,0.00595
211,"Olives",203324,"OLEACEAE",0.0014,0.01469
212,"Oranges",4583461,"RUTACEAE",0.0309,0.33111
213,"Honeydew Melons",28912,"CUCURBITACEAE",2e-04,0.00209
214,"Broccoli",50371,"BRASSICACEAE",3e-04,0.00364
216,"Peppers",89015,"SOLANACEAE",6e-04,0.00643
217,"Pomegranates",92862,"PRUNICACEAE",6e-04,0.00671
218,"Nectarines",11640,"ROSACEAE",1e-04,0.00084
219,"Greens",66904,"UNDEFINED",5e-04,0.00483
220,"Plums",240176,"ROSACEAE",0.0016,0.01735
221,"Strawberries",195318,"ROSACEAE",0.0013,0.01411
222,"Squash",93672,"CUCURBITACEAE",6e-04,0.00677
223,"Apricots",16905,"ROSACEAE",1e-04,0.00122
224,"Vetch",20663,"FABACEAE",1e-04,0.00149
225,"Dbl Crop WinWht/Corn",1806020,"DOUBLE-CROP",0.0122,0.13047
226,"Dbl Crop Oats/Corn",493604,"DOUBLE-CROP",0.0033,0.03566
227,"Lettuce",128695,"ASTERACEAE",9e-04,0.0093
229,"Pumpkins",103748,"CUCURBITACEAE",7e-04,0.00749
230,"Dbl Crop Lettuce/Durum Wht",178854,"DOUBLE-CROP",0.0012,0.01292
231,"Dbl Crop Lettuce/Cantaloupe",17236,"DOUBLE-CROP",1e-04,0.00125
232,"Dbl Crop Lettuce/Cotton",34938,"DOUBLE-CROP",2e-04,0.00252
234,"Dbl Crop Durum Wht/Sorghum",18415,"DOUBLE-CROP",1e-04,0.00133
235,"Dbl Crop Barley/Sorghum",52944,"DOUBLE-CROP",4e-04,0.00382
236,"Dbl Crop WinWht/Sorghum",1735033,"DOUBLE-CROP",0.0117,0.12534
237,"Dbl Crop Barley/Corn",167608,"DOUBLE-CROP",0.0011,0.01211
238,"Dbl Crop WinWht/Cotton",1457961,"DOUBLE-CROP",0.0098,0.10532
239,"Dbl Crop Soybeans/Cotton",33221,"DOUBLE-CROP",2e-04,0.0024
240,"Dbl Crop Soybeans/Oats",80614,"DOUBLE-CROP",5e-04,0.00582
241,"Dbl Crop Corn/Soybeans",76434,"DOUBLE-CROP",5e-04,0.00552
242,"Blueberries",408785,"ERICACEAE",0.0028,0.02953
243,"Cabbage",82592,"BRASSICACEAE",6e-04,0.00597
244,"Cauliflower",8797,"BRASSICACEAE",1e-04,0.00064
245,"Celery",11061,"APIACEAE",1e-04,8e-04
246,"Radishes",45754,"BRASSICACEAE",3e-04,0.00331
247,"Turnips",8947,"BRASSICACEAE",1e-04,0.00065
248,"Eggplants",1605,"SOLANACEAE",0,0.00012
249,"Gourds",675,"CUCURBITACEAE",0,5e-05
250,"Cranberries",162055,"ERICACEAE",0.0011,0.01171
254,"Dbl Crop Barley/Soybeans",459131,"DOUBLE-CROP",0.0031,0.03317
