geo.id,Dg_allSP,CropArea_acres,Dg_CDLcat,total_area,CropArea_prop
20137,3.75804901449385,179981,3.75804901449385,2282544288.91448,0.319098853545735
31065,3.32595342768906,219365,3.32595342768906,1866458194.03203,0.475627400569864
13087,4.97627268315238,130861,4.9759262800691,1613997618.74677,0.328114287245907
18177,2.59785259477573,114914.5,2.59777808741964,1047241309.87378,0.44406430300953
21009,3.26937372820917,60630,3.26911752931383,1294993308.8134,0.18946885919815
31093,2.49119576978128,155469,2.49117355625157,1490777881.8193,0.422035186332585
38025,4.77032335953784,288751,4.77032335953784,5392464547.22162,0.216697546843677
06005,2.32549818783969,5226.5,2.32092042129582,1569404251.54958,0.0134770216601554
47049,3.76629544102782,2865,3.76447347553389,1292226779.32156,0.00897229792456641
20031,3.08315657083214,124588,3.08315657083214,1694094787.89164,0.297616019810469
26023,2.83391109709763,178827,2.83385886772176,1346025620.44395,0.537647413583282
51031,4.20719087807703,10597.5,4.20681185246157,1312195440.48019,0.0326830589509515
39105,4.88267995229799,7237.5,4.87611252820587,1121477713.86506,0.0261165451573513
54067,7.55301807365503,211,7.50355653480671,1694905170.13484,0.00050379615342047
40053,2.30912783656808,313373,2.30912783656808,2599266825.99149,0.487897404366329
46115,3.13448142002077,629270,3.13448142002077,3910209282.44499,0.651260624938041
50027,3.96202984198263,5449,3.91969365486064,2530557240.30689,0.00871401772480096
48455,3.06054988203068,131,3.06054988203068,1849181660.10553,0.000286687999763174
35001,2.12588857175492,4138,2.10618883520436,3023494693.50195,0.00553858814830441
13205,4.68486009756674,111711,4.68465368842201,1330797388.36188,0.339704888028977
21147,1.88232006787288,179,1.84797897906572,1116147403.67825,0.000649006840156048
21191,4.80500088886123,5154,4.79885949328713,730164737.13234,0.028565468777588
21215,3.60424610466006,13985.5,3.60281732324224,496400081.249924,0.114015514165438
30041,1.75700242400432,515428,1.75699769837965,7553518805.23193,0.276144558035656
31175,2.64266373330296,128634,2.64266373330296,1477479684.01543,0.352331970903475
48069,3.67568245263032,195581,3.67568245263032,2329157837.75711,0.33981734218218
24043,4.96086931358797,69690.5,4.96003502262994,1210413227.80829,0.233000962833113
21133,5.74234749205346,7,5.74234749205346,878092015.470245,3.22608501816629e-05
34033,6.30384461751633,75751,6.25149875022539,964904869.196838,0.317703258258391
51680,,,,128271306.190903,
05125,5.98136350346362,140.5,5.80690636203311,1891956956.3508,0.000300526566124359
54053,2.8119674935909,17465,2.81109711233715,1151807846.05568,0.0613629674943188
54021,3.89433235031295,222,3.83694370920464,880799827.497547,0.00101998444791396
28063,3.16119626071473,19205,3.15910414370547,1365608759.78183,0.0569122576546804
38079,6.10559212566152,278297,6.10559212566152,2432891287.03296,0.462917520313104
30103,4.35867916362089,31105,4.35867916362089,2549642367.03711,0.0493706374847512
21049,4.12236120832541,14211,4.12195908832227,660851763.530243,0.0870238679723135
26005,3.66541006353118,203224,3.66313990488882,4748196845.97745,0.173206456316686
47005,2.39957348600763,14824,2.39890037849109,1129831949.41083,0.0530969226325569
27015,2.3204223260207,279649,2.3204223260207,1601244385.07219,0.706762416916587
47137,2.92587541458313,1706,2.92587541458313,451936010.039368,0.015276359712989
51109,4.3741373607747,8284,4.36828532337277,1322770898.22171,0.0253438888383698
18145,2.19126634403431,217240,2.19121041139931,1069034182.00912,0.822367613680924
39049,2.52124254152212,48605,2.52089554640127,1407978628.52046,0.139702018501123
