GEOID,Dg
12047,4.8550096255874
12051,2.37027713241394
12055,1.11087988083596
12059,4.94684276219437
12061,2.15971295869066
12063,3.17126454941252
12065,6.52406452472156
12067,5.01549700499888
12071,1.24480821624235
12073,5.66932105495042
12075,2.50970817172198
12077,5.33612666448535
12079,4.96363416976328
12083,3.22069313501402
12085,2.71084778866714
12086,5.31353618402025
12089,4.35453177017866
12091,3.30335215839918
12093,1.76127145140082
12099,1.42899960562233
12107,2.43844299290347
12111,2.37634358638072
12113,2.84559312371111
12121,5.74899541623802
12123,6.44435767644618
12125,6.71581085764646
12127,2.34788159537294
12129,6.48398010903526
12131,3.87976048020901
12133,3.95360141934933
13001,3.86095627003887
13003,3.41107577824272
13005,4.03562824550506
13007,3.80519212221099
13009,4.26874615110266
13011,4.12609177440809
13013,9.41934714375748
13015,4.24922987657015
13017,3.82666970786071
13019,3.51450292947756
13021,5.21624082005587
13023,5.04849299784158
13025,4.73520233542388
13027,3.73888321343723
13029,4.30729703714036
13031,3.62570938068262
13033,5.15082462172362
13035,5.45067415894136
13037,5.3036796406279
13039,6.67887728988433
13043,3.86507854920666
13045,2.70751884143784
13047,3.82935465195923
13049,5.72613892280796
13055,3.40353748718953
13057,4.71965740360251
13059,3.52427310852066
13061,4.62002438074963
13065,5.05211049110984
13069,3.33762955121681
13071,3.39665694896727
13073,6.35765669859885
13075,3.29945324662111
13077,4.25701218928044
13079,7.28242087111408
13081,3.80049187650783
13083,2.50650366880853
13085,2.17552288755585
13087,4.46394019954959
13091,5.09441247704735
13093,3.53000748238938
13095,4.42127180487142
13099,4.34825783722337
13101,5.86415461176867
13103,4.77404703251312
13105,4.3450353669593
13107,4.14123917622723
13109,4.78280387350824
13111,2.02343101362287
13113,5.60222868254952
13115,3.62907106046639
13119,4.68405648243848
13123,1.84166339238503
13125,4.61086047749202
13129,4.15621129097171
13131,4.16727620347779
13133,5.48160431454577
13137,1.96360973321662
13139,2.64445500223136
13143,2.44868083508354
13147,4.03600306393615
13149,3.80004347250396
13153,5.77498547519378
13155,3.59126209424751
13157,3.61492085095885
13159,4.45927070848318
13161,3.15313515184337
13163,5.84284746174865
13165,4.04843104678532
13167,5.70517411796786
13169,5.9791014520329
13171,4.9728043364914
13173,4.21212625756694
13175,5.73689821935249
13177,5.94946768005889
13179,3.80678915633186
13181,7.47088463741999
13183,4.75758064045937
13185,4.22402677340552
13187,2.06616550350008
13189,5.19456645351941
13193,7.62474268756063
13195,3.07550285149965
13197,7.29390169627643
13201,3.93220442159358
13205,4.46276480313235
13207,4.31229712263757
13209,5.57776987108498
13211,5.72459845394758
13213,2.92942478480657
13217,3.78675474026189
13219,5.07870556669668
13221,3.70737192414386
13225,6.39072112490666
13227,1.95639654585997
13229,4.2254728796826
